"treeID","Z","TreeSpecies","coords.x1","coords.x2","DBH","Biomass"
13281,12.12,2,294392.625,6808252.625,18.9862341145203,110.720876007594
13282,5.25,2,294522.375,6808252.625,7.59455926911443,10.0414842418401
13283,5.66,2,293700.625,6808252.375,8.14956279542001,12.0037916494698
13284,11.04,1,294143.875,6808252.375,13.5231448195252,60.4927245542876
13285,9.92,2,294329.375,6808252.375,14.6524114987764,56.2186096822527
13286,8.89,2,294424.125,6808252.375,12.9034510100108,40.1066229834591
13287,2.07,2,294528.125,6808252.375,3.00897227809926,1.42417284509061
13288,9.33,2,294632.875,6808252.375,13.6325750322877,46.4211059121804
13289,7.1,3,294783.375,6808252.375,8.98268535452491,16.219301639246
13290,3.68,3,294869.875,6808252.375,4.38578856958001,2.68688690009694
13291,8.6,1,293826.125,6808252.125,10.4937734644806,32.2727413501595
13292,17.61,1,293933.125,6808252.125,24.6667722981668,271.510085529298
13293,21.7,1,294084.125,6808252.125,36.0560857560548,653.389368351642
13294,10.81,1,294833.125,6808252.125,13.2206164457658,57.1556250336523
13295,4.39,1,294996.625,6808252.125,5.79401401273398,8.43121907948706
13296,16.91,1,293857.375,6808251.875,23.1670096803071,233.039351346791
13297,14.41,2,293886.375,6808251.875,24.7514680286648,214.821134052426
13298,16.66,1,293911.625,6808251.875,22.6549538994715,220.605202829276
13299,18.4,1,293941.875,6808251.875,26.4878469433259,322.239101157414
13300,18.32,1,294026.875,6808251.875,26.2967389803009,316.713162854343
13301,22.28,1,294033.375,6808251.875,38.1731766528276,739.207904683451
13302,17.31,1,294041.375,6808251.875,24.0116864592221,254.332849769716
13303,5.94,2,294205.375,6808251.875,8.53212787138455,13.4998434820457
13304,6.6,2,294444.625,6808251.875,9.44966802073336,17.5919854127482
13305,5.8,2,294841.625,6808251.875,8.34042624680823,12.7352038074745
13306,13.95,1,293666.625,6808251.625,17.7649091735107,120.326417370703
13307,10.65,1,293714.125,6808251.625,13.0125136675587,54.929156868615
13308,2.19,1,293758.375,6808251.625,3.01098386053631,2.72941063558645
13309,19.64,1,293964.625,6808251.625,29.6667195378164,420.827138061711
13310,7.6,1,294051.375,6808251.625,9.34414468892126,24.4069917554795
13311,21.96,1,294086.375,6808251.625,36.9850805911867,690.56413904765
13312,21.25,1,294130.375,6808251.625,34.5199974853129,593.670366438528
13313,2.28,2,294238.375,6808251.625,3.38466025176827,1.73413198825112
